,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,police,police
4,4,4,pensais,thought
5,5,5,demande,request
6,6,6,mois,month
7,7,7,frère,brother
8,9,9,car,because
9,11,11,aucun,no
10,12,12,laisse,leash
11,13,14,chaque,each
12,14,15,parlé,speak
13,15,16,arrivé,come
14,16,17,devrait,should
15,17,18,bébé,baby
16,18,20,vont,will
17,19,21,pendant,while
18,20,22,revoir,meet again
19,21,23,aucune,any
20,22,24,place,square
21,23,25,compris,understood
22,24,26,savais,knew
23,25,27,étaient,were
24,26,28,attention,Warning
25,27,29,voici,here is
26,28,30,pourrais,could
27,29,31,affaire,case
28,30,32,donner,give
29,31,33,type,type
30,32,34,leurs,their
31,33,35,donné,given
32,34,36,train,train
33,35,37,corps,body
34,36,38,endroit,place
35,37,39,yeux,eyes
36,38,41,écoute,listen
37,39,42,dont,whose
38,40,43,trouve,find
39,41,44,main,hand
40,42,45,première,first
41,43,46,côté,side
42,44,47,pouvoir,power
43,45,48,vieux,old
44,46,49,sois,be
45,47,50,tiens,here
46,48,51,matin,morning
47,49,52,enfant,child
48,50,53,point,point
49,51,54,venu,came
50,52,55,suite,after
51,53,57,vers,towards
52,54,58,minutes,minutes
53,55,59,demandé,request
54,56,60,chambre,bedroom
55,57,61,mis,placed
56,58,62,droit,law
57,59,63,aimerais,would like to
58,60,64,mari,husband
59,61,65,cause,cause
60,62,66,enfin,finally
61,63,67,espère,hope
62,64,68,eau,water
63,66,70,parti,left
64,67,71,nouvelle,new
65,68,72,boulot,job
66,69,73,arrêter,Stop
67,70,74,dirait,would say
68,71,75,compte,account
69,72,76,donne,given
70,73,77,loin,far
71,74,78,fin,end
72,75,80,chérie,sweetheart
73,76,81,plutôt,rather
74,77,82,aura,will have
75,78,83,filles,girls
76,79,84,jouer,to play
77,80,85,bureau,office
